name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_name,is_verified
Brass C20000,Metal,Copper Alloy,C20000,-,8.5,300,350,150,200,30.0,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20100,Metal,Copper Alloy,C20100,-,8.5,303,353,151,202,29.7,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20200,Metal,Copper Alloy,C20200,-,8.5,306,357,153,204,29.4,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20300,Metal,Copper Alloy,C20300,-,8.5,309,360,155,207,29.1,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20400,Metal,Copper Alloy,C20400,-,8.5,312,364,157,209,28.8,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20500,Metal,Copper Alloy,C20500,-,8.5,315,367,159,212,28.5,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20600,Metal,Copper Alloy,C20600,-,8.5,318,371,160,214,28.2,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20700,Metal,Copper Alloy,C20700,-,8.5,321,374,162,216,27.9,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20800,Metal,Copper Alloy,C20800,-,8.5,324,378,164,219,27.6,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C20900,Metal,Copper Alloy,C20900,-,8.5,327,381,166,221,27.3,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21000,Metal,Copper Alloy,C21000,-,8.5,330,385,168,224,27.0,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21100,Metal,Copper Alloy,C21100,-,8.5,333,388,169,226,26.7,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21200,Metal,Copper Alloy,C21200,-,8.5,336,392,171,228,26.4,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21300,Metal,Copper Alloy,C21300,-,8.5,338,395,173,231,26.1,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21400,Metal,Copper Alloy,C21400,-,8.5,342,399,175,233,25.8,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21500,Metal,Copper Alloy,C21500,-,8.5,345,402,177,236,25.5,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21600,Metal,Copper Alloy,C21600,-,8.5,348,406,178,238,25.2,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21700,Metal,Copper Alloy,C21700,-,8.5,351,409,180,240,24.9,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21800,Metal,Copper Alloy,C21800,-,8.5,354,413,182,243,24.6,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C21900,Metal,Copper Alloy,C21900,-,8.5,357,416,184,245,24.3,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22000,Metal,Copper Alloy,C22000,-,8.5,360,420,186,248,24.0,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22100,Metal,Copper Alloy,C22100,-,8.5,363,423,187,250,23.7,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22200,Metal,Copper Alloy,C22200,-,8.5,366,427,189,252,23.4,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22300,Metal,Copper Alloy,C22300,-,8.5,369,430,191,255,23.1,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22400,Metal,Copper Alloy,C22400,-,8.5,372,434,193,257,22.8,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22500,Metal,Copper Alloy,C22500,-,8.5,375,437,195,260,22.5,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22600,Metal,Copper Alloy,C22600,-,8.5,378,441,196,262,22.2,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22700,Metal,Copper Alloy,C22700,-,8.5,381,444,198,264,21.9,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22800,Metal,Copper Alloy,C22800,-,8.5,384,448,200,267,21.6,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C22900,Metal,Copper Alloy,C22900,-,8.5,387,451,202,269,21.3,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23000,Metal,Copper Alloy,C23000,-,8.5,390,455,203,272,21.0,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23100,Metal,Copper Alloy,C23100,-,8.5,393,458,205,274,20.7,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23200,Metal,Copper Alloy,C23200,-,8.5,396,462,207,276,20.4,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23300,Metal,Copper Alloy,C23300,-,8.5,399,465,209,279,20.1,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23400,Metal,Copper Alloy,C23400,-,8.5,402,469,211,281,19.8,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23500,Metal,Copper Alloy,C23500,-,8.5,405,472,213,284,19.5,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23600,Metal,Copper Alloy,C23600,-,8.5,407,475,214,286,19.2,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23700,Metal,Copper Alloy,C23700,-,8.5,411,479,216,288,18.9,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23800,Metal,Copper Alloy,C23800,-,8.5,413,482,218,291,18.6,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C23900,Metal,Copper Alloy,C23900,-,8.5,417,486,220,293,18.3,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24000,Metal,Copper Alloy,C24000,-,8.5,420,489,222,296,18.0,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24100,Metal,Copper Alloy,C24100,-,8.5,423,493,223,298,17.7,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24200,Metal,Copper Alloy,C24200,-,8.5,426,497,225,300,17.4,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24300,Metal,Copper Alloy,C24300,-,8.5,429,500,227,303,17.1,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24400,Metal,Copper Alloy,C24400,-,8.5,432,504,229,305,16.8,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24500,Metal,Copper Alloy,C24500,-,8.5,435,507,231,308,16.5,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24600,Metal,Copper Alloy,C24600,-,8.5,438,511,232,310,16.2,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24700,Metal,Copper Alloy,C24700,-,8.5,441,514,234,312,15.9,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24800,Metal,Copper Alloy,C24800,-,8.5,444,518,236,315,15.6,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Brass C24900,Metal,Copper Alloy,C24900,-,8.5,447,521,238,317,15.3,-,110,120,380,900,950,250,700,1000,INR,Engineering applications,-,-,Standard Copper Alloy variant.,ASM Handbook,True
Grade Al 3000,Metal,Aluminum Alloy,Al 3000,-,2.7,200,250,100,150,15.0,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3010,Metal,Aluminum Alloy,Al 3010,-,2.7,204,255,103,154,14.8,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
