name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_name,is_verified
Acetal (POM) Homopolymer,Polymer,Thermoplastic,-,-,1.42,54,66,54,66,25,120 R,2.8,0.3,1500,175,175,90,400,600,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Acetal (POM) Copolymer,Polymer,Thermoplastic,-,-,1.41,54,66,54,66,60,115 R,2.6,0.3,1500,165,165,90,380,580,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Nylon 6 (PA6) Dry,Polymer,Thermoplastic,-,-,1.13,72,88,72,88,15,119 R,2.8,0.25,1500,220,220,85,300,450,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Nylon 6 (PA6) 30% GF,Polymer,Thermoplastic,-,-,1.35,153,187,153,187,3,120 R,9.6,0.35,1500,220,220,130,450,650,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Nylon 6/6 (PA66) Dry,Polymer,Thermoplastic,-,-,1.14,76,93,76,93,15,121 R,3.1,0.25,1500,260,260,95,320,480,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Polycarbonate (PC) Clear,Polymer,Thermoplastic,-,-,1.2,58,71,55,68,100,118 R,2.4,0.2,1500,260,260,115,350,500,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Polycarbonate (PC) 20% GF,Polymer,Thermoplastic,-,-,1.35,99,121,99,121,4,120 R,5.5,0.22,1500,260,260,140,500,700,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
ABS High Impact,Polymer,Thermoplastic,-,-,1.04,36,44,36,44,25,105 R,2.0,0.18,1500,210,210,75,200,300,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
ABS Medium Impact,Polymer,Thermoplastic,-,-,1.05,40,49,40,49,20,110 R,2.3,0.18,1500,210,210,80,190,280,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Polystyrene (PS) General Purpose,Polymer,Thermoplastic,-,-,1.04,40,49,40,49,2,75 M,3.1,0.13,1500,240,240,70,150,250,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
High Impact Polystyrene (HIPS),Polymer,Thermoplastic,-,-,1.04,22,27,22,27,40,65 M,2.1,0.15,1500,240,240,65,160,260,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
PET (Polyethylene Terephthalate),Polymer,Thermoplastic,-,-,1.38,49,60,49,60,50,100 R,2.8,0.15,1500,255,255,70,180,250,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
PET 30% GF,Polymer,Thermoplastic,-,-,1.56,117,143,117,143,3,120 R,8.9,0.25,1500,255,255,150,350,500,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
HDPE (High Density PE),Polymer,Thermoplastic,-,-,0.95,22,27,22,27,400,60 D,1.1,0.45,1500,130,130,80,120,180,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
LDPE (Low Density PE),Polymer,Thermoplastic,-,-,0.92,9,11,9,11,500,45 D,0.2,0.33,1500,110,110,65,110,160,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Polypropylene (PP) Homopolymer,Polymer,Thermoplastic,-,-,0.9,31,38,31,38,100,100 R,1.4,0.2,1500,160,160,90,130,190,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Polypropylene (PP) Copolymer,Polymer,Thermoplastic,-,-,0.9,22,27,22,27,200,85 R,1.1,0.2,1500,160,160,80,140,200,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
PVC Rigid,Polymer,Thermoplastic,-,-,1.4,40,49,40,49,20,115 R,3.0,0.16,1500,180,180,65,150,250,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
PVC Flexible,Polymer,Thermoplastic,-,-,1.25,13,16,13,16,250,80 A,0.1,0.14,1500,180,180,50,160,260,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
PTFE (Teflon) Unfilled,Polymer,Thermoplastic,-,-,2.16,18,22,18,22,300,55 D,0.5,0.25,1500,327,327,260,1500,2500,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
PEEK (Polyetheretherketone),Polymer,Thermoplastic,-,-,1.3,90,110,90,110,20,125 R,3.6,0.25,1500,343,343,250,8000,12000,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
PEEK 30% CF,Polymer,Thermoplastic,-,-,1.4,198,242,198,242,2,120 R,18.0,0.8,1500,343,343,270,10000,15000,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
PEI (Ultem 1000),Polymer,Thermoplastic,-,-,1.27,94,115,94,115,60,125 R,3.3,0.22,1500,350,350,170,3000,4500,INR,"Consumer goods, automotive, electronics, aerospace",-,-,Commercial thermoplastic resin.,MatWeb,True
Epoxy Resin (Unfilled),Polymer,Thermoset,-,-,1.15,54,66,54,66,5,85 M,3.0,0.2,1200,,,150,600,1000,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard thermoset material.,MatWeb / ISO,True
Epoxy (60% Carbon Fiber UD),Composite,Composite,-,-,1.55,1350,1650,1350,1650,1.5,120 M,135.0,5.0,1200,,,180,5000,8000,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard composite material.,MatWeb / ISO,True
Epoxy (50% Glass Fiber Woven),Composite,Composite,-,-,1.85,360,440,360,440,2.5,110 M,22.0,0.5,1200,,,150,1500,2500,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard composite material.,MatWeb / ISO,True
Polyester Resin (Unfilled),Polymer,Thermoset,-,-,1.12,45,55,45,55,2,70 M,3.5,0.17,1200,,,100,250,450,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard thermoset material.,MatWeb / ISO,True
Polyester (30% Glass Fiber SMC),Composite,Composite,-,-,1.8,108,132,108,132,1.5,90 M,12.0,0.3,1200,,,120,400,700,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard composite material.,MatWeb / ISO,True
Phenolic (Unfilled),Polymer,Thermoset,-,-,1.25,36,44,36,44,1,100 M,4.0,0.25,1200,,,200,300,500,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard thermoset material.,MatWeb / ISO,True
Phenolic (Wood Flour Filled),Polymer,Thermoset,-,-,1.4,49,60,49,60,1,110 M,7.0,0.3,1200,,,200,350,600,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard thermoset material.,MatWeb / ISO,True
Silicone Rubber (RTV),Polymer,Elastomer,-,-,1.15,5,6,5,6,400,50 A,0.05,0.2,1200,,,250,800,1500,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard elastomer material.,MatWeb / ISO,True
Natural Rubber (NR),Polymer,Elastomer,-,-,0.93,18,22,18,22,600,60 A,0.02,0.15,1200,,,80,200,400,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard elastomer material.,MatWeb / ISO,True
Neoprene (CR),Polymer,Elastomer,-,-,1.23,13,16,13,16,400,65 A,0.03,0.19,1200,,,100,350,600,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard elastomer material.,MatWeb / ISO,True
EPDM Rubber,Polymer,Elastomer,-,-,0.86,10,13,10,13,450,65 A,0.02,0.25,1200,,,130,250,500,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard elastomer material.,MatWeb / ISO,True
Polyurethane (PU) Rigid Foam,Polymer,Foam,-,-,0.04,1,2,1,2,10,15 A,0.05,0.03,1200,,,100,500,800,INR,"Automotive parts, seals, aerospace structures, insulation",-,-,Standard foam material.,MatWeb / ISO,True
